descripcion_tipo_presupuesto,finalidad,funcion,monto
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,323-SERVICIOS DE ACCIÓN SOCIAL,10454852151
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,323-SERVICIOS DE ACCIÓN SOCIAL,8756032785
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,321-ASISTENCIA  A PERSONAS CON NECESIDADES ESPECIALES,54883102442
1-PROGRAMAS DE ADMINISTRACION,10-RECURSOS DEL TESORO,319-SALUD SIN DISCRIMINAR,732130452401
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,319-SALUD SIN DISCRIMINAR,455436365319
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,319-SALUD SIN DISCRIMINAR,292899253386
1-PROGRAMAS DE ADMINISTRACION,30-RECURSOS INSTITUCIONALES,319-SALUD SIN DISCRIMINAR,101842211262
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,319-SALUD SIN DISCRIMINAR,87520805577
1-PROGRAMAS DE ADMINISTRACION,20-RECURSOS DEL CREDITO PUBLICO,319-SALUD SIN DISCRIMINAR,2660857005
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,319-SALUD SIN DISCRIMINAR,1960099844
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,319-SALUD SIN DISCRIMINAR,28730225
2-PROGRAMAS DE ACCIÓN,20-RECURSOS DEL CREDITO PUBLICO,319-SALUD SIN DISCRIMINAR,0
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,313-PROMOCIÓN Y ASISTENCIA,3910046061
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,313-PROMOCIÓN Y ASISTENCIA,1049042719
3-PROGRAMAS DE INVERSIÓN,10-RECURSOS DEL TESORO,312-SANEAMIENTO AMBIENTAL,69069853310
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,312-SANEAMIENTO AMBIENTAL,47951990436
3-PROGRAMAS DE INVERSIÓN,30-RECURSOS INSTITUCIONALES,312-SANEAMIENTO AMBIENTAL,35943635903
3-PROGRAMAS DE INVERSIÓN,20-RECURSOS DEL CREDITO PUBLICO,312-SANEAMIENTO AMBIENTAL,14171066683
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,312-SANEAMIENTO AMBIENTAL,5004979882
2-PROGRAMAS DE ACCIÓN,20-RECURSOS DEL CREDITO PUBLICO,312-SANEAMIENTO AMBIENTAL,0
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,311-ATENCION MEDICA,2306326486371
2-PROGRAMAS DE ACCIÓN,10-RECURSOS DEL TESORO,311-ATENCION MEDICA,1872712255556
2-PROGRAMAS DE ACCIÓN,20-RECURSOS DEL CREDITO PUBLICO,311-ATENCION MEDICA,408936328
2-PROGRAMAS DE ACCIÓN,30-RECURSOS INSTITUCIONALES,241-INVERSIÓN SEGURIDAD,39110248354
